,Team1,Team2,Result,UTC,PBP,Color,MVP,Blue,Red,Sel,Choice,Day,Time
0,G2 Esports,Splyce,True,2019-06-07,Quickshot,Ender,Jankos,G2,SPY,G2,1,Fri,
1,Team Vitality,Origen,False,2019-06-07,Quickshot,Ender,Patrik,OG,VIT,VIT,0,Fri,
2,Rogue,Misfits Gaming,False,2019-06-07,Drakos,Froskurinn,Hans Sama,RGE,MSF,RGE,1,Fri,
3,Fnatic,SK Gaming,True,2019-06-07,Drakos,Froskurinn,Rekkles,FNC,SK,FNC,1,Fri,
4,FC Schalke 04,Excel Esports,True,2019-06-07,Drakos,Froskurinn,Trick,S04,XL,S04,1,Fri,
5,Excel Esports,Rogue,False,2019-06-08,Quickshot,Ender,Vander,XL,RGE,XL,1,Sat,
6,SK Gaming,FC Schalke 04,True,2019-06-08,Quickshot,Ender,Crownshot,SK,S04,SK,1,Sat,
7,Splyce,Team Vitality,True,2019-06-08,Medic,Vedius,Vizicsacsi,SPY,VIT,SPY,1,Sat,
8,Misfits Gaming,Fnatic,False,2019-06-08,Medic,Vedius,Broxah,MSF,FNC,MSF,1,Sat,
9,Origen,G2 Esports,False,2019-06-08,Medic,"Vedius, Ender",Perkz,OG,G2,OG,1,Sat,
10,Misfits Gaming,Excel Esports,True,2019-06-14,Quickshot,Foxdrop,Kirei,MSF,XL,MSF,1,Fri,
11,Rogue,Team Vitality,True,2019-06-14,Quickshot,Foxdrop,Vander,RGE,VIT,RGE,1,Fri,
12,Fnatic,Origen,True,2019-06-14,Medic,Vedius,Nemesis,FNC,OG,FNC,1,Fri,
13,Splyce,FC Schalke 04,False,2019-06-14,Medic,Vedius,Upset,SPY,S04,SPY,1,Fri,
14,G2 Esports,SK Gaming,True,2019-06-14,Medic,"Vedius, Foxdrop",Jankos,G2,SK,G2,1,Fri,
15,Excel Esports,Splyce,False,2019-06-15,Drakos,Froskurinn,Vizicsacsi,XL,SPY,XL,1,Sat,
16,SK Gaming,Rogue,True,2019-06-15,Drakos,Froskurinn,Selfmade,SK,RGE,SK,1,Sat,
17,Origen,Misfits Gaming,True,2019-06-15,Drakos,Froskurinn,Mithy,OG,MSF,OG,1,Sat,
18,FC Schalke 04,Fnatic,False,2019-06-15,Quickshot,"Ender, Foxdrop",Hylissang,S04,FNC,S04,1,Sat,
19,Team Vitality,G2 Esports,False,2019-06-15,Quickshot,"Ender, Foxdrop",Perkz,G2,VIT,VIT,0,Sat,
20,Excel Esports,Team Vitality,False,2019-06-21,Drakos,Froskurinn,Attila,XL,VIT,XL,1,Fri,
21,Splyce,Rogue,True,2019-06-21,Medic,"Ender, Froskurinn",Vizicsacsi,RGE,SPY,SPY,0,Fri,
22,FC Schalke 04,Origen,False,2019-06-21,Medic,Vedius,Nukeduck,S04,OG,S04,1,Fri,
23,SK Gaming,Misfits Gaming,True,2019-06-21,Medic,Vedius,Sacre,SK,MSF,SK,1,Fri,
24,G2 Esports,Fnatic,False,2019-06-21,Medic,"Vedius, Froskurinn",Broxah,G2,FNC,G2,1,Fri,
25,Team Vitality,SK Gaming,True,2019-06-22,Drakos,Froskurinn,Attila,VIT,SK,VIT,1,Sat,
26,Misfits Gaming,FC Schalke 04,False,2019-06-22,Drakos,"Froskurinn, Vedius",Abbedagge,MSF,S04,MSF,1,Sat,
27,Origen,Splyce,False,2019-06-22,Drakos,Ender,Humanoid,OG,SPY,OG,1,Sat,
28,Fnatic,Excel Esports,True,2019-06-22,Medic,Ender,Rekkles,FNC,XL,FNC,1,Sat,
29,Rogue,G2 Esports,False,2019-06-22,Medic,Ender,Perkz,G2,RGE,RGE,0,Sat,
30,Rogue,FC Schalke 04,False,2019-07-12,Medic,Ender,Upset,RGE,S04,RGE,1,Fri,
31,Splyce,SK Gaming,True,2019-07-12,Medic,"Ender, Froskurinn",Kobbe,SPY,SK,SPY,1,Fri,
32,G2 Esports,Misfits Gaming,True,2019-07-12,Drakos,Ender,Caps,G2,MSF,G2,1,Fri,
33,Excel Esports,Origen,False,2019-07-12,Drakos,Froskurinn,Nukeduck,XL,OG,XL,1,Fri,
34,Team Vitality,Fnatic,False,2019-07-12,Drakos,Froskurinn,Broxah,FNC,VIT,VIT,0,Fri,
35,SK Gaming,Excel Esports,False,2019-07-13,Drakos,Froskurinn,Mystiques,SK,XL,SK,1,Sat,
36,Misfits Gaming,Team Vitality,False,2019-07-13,Drakos,Froskurinn,Jiizuke,VIT,MSF,MSF,0,Sat,
37,Origen,Rogue,False,2019-07-13,Medic,Froskurinn,Inspired,RGE,OG,OG,0,Sat,
38,FC Schalke 04,G2 Esports,False,2019-07-13,Medic,Ender,Caps,S04,G2,S04,1,Sat,
39,Fnatic,Splyce,False,2019-07-13,Medic,Ender,Humanoid,FNC,SPY,FNC,1,Sat,
40,Misfits Gaming,Splyce,False,2019-07-19,Quickshot,Vedius,Humanoid,SPY,MSF,MSF,0,Fri,
